seed,sensorRange,acoCandidateCount,acoStepLength,acoAlpha,acoBeta,converged,convergenceTime,victimsFound
44,100.0,25,100.0,1.5,2.0,true,22.2496507311654,5
44,100.0,30,100.0,1.0,1.0,true,22.218677764329804,5
44,100.0,30,100.0,2.0,1.5,true,22.218677764329804,5
44,100.0,30,100.0,1.5,1.5,true,22.218677764329804,5
44,100.0,30,100.0,1.0,1.5,true,22.218677764329804,5
44,100.0,30,100.0,1.0,2.0,true,22.218677764329804,5
44,100.0,30,100.0,2.0,2.0,true,22.218677764329804,5
44,100.0,30,100.0,1.5,2.0,true,22.218677764329804,5
44,100.0,20,150.0,1.0,1.0,true,31.878330889788547,5
44,100.0,20,150.0,1.0,1.5,true,31.878330889788547,5
44,100.0,20,150.0,1.5,1.0,true,31.878330889788547,5
44,100.0,20,150.0,2.0,1.5,true,31.878330889788547,5
44,100.0,20,150.0,1.5,1.5,true,31.878330889788547,5
44,100.0,20,150.0,2.0,1.0,true,31.878330889788547,5
44,100.0,20,150.0,1.0,2.0,true,31.878330889788547,5
44,100.0,20,150.0,2.0,2.0,true,31.878330889788547,5
44,100.0,20,150.0,1.5,2.0,true,31.878330889788547,5
44,100.0,25,150.0,1.5,1.0,true,35.27327803847707,5
44,100.0,25,150.0,1.0,1.0,true,35.27327803847707,5
44,100.0,25,150.0,1.5,1.5,true,42.86345138078812,5
44,100.0,25,150.0,2.0,1.5,true,42.86345138078812,5
44,100.0,25,150.0,2.0,1.0,true,42.86345138078812,5
44,100.0,25,150.0,1.0,1.5,true,42.86345138078812,5
44,100.0,25,150.0,1.0,2.0,true,43.56382241562867,5
44,100.0,25,150.0,2.0,2.0,true,42.86345138078812,5
44,100.0,25,150.0,1.5,2.0,true,42.86345138078812,5
44,100.0,30,150.0,1.0,2.0,true,65.80993817599283,5
44,100.0,30,150.0,1.0,1.0,true,83.28851529875077,5
44,100.0,30,150.0,2.0,1.5,true,77.25869916060232,5
44,100.0,30,150.0,1.5,1.0,true,76.68856931259664,5
44,100.0,30,150.0,1.5,1.5,false,NaN,4
45,100.0,20,50.0,1.5,1.0,false,NaN,1
44,100.0,30,150.0,1.5,2.0,false,NaN,4
44,100.0,30,150.0,1.0,1.5,false,NaN,4
44,100.0,30,150.0,2.0,2.0,false,NaN,4
44,100.0,30,150.0,2.0,1.0,false,NaN,4
45,100.0,20,50.0,2.0,1.0,false,NaN,1
45,100.0,20,50.0,1.0,1.5,false,NaN,0
45,100.0,20,50.0,2.0,1.5,false,NaN,0
45,100.0,20,50.0,1.5,2.0,false,NaN,2
45,100.0,20,50.0,1.5,1.5,false,NaN,0
45,100.0,20,50.0,1.0,1.0,false,NaN,1
45,100.0,20,50.0,1.0,2.0,false,NaN,0
45,100.0,25,50.0,1.0,1.0,false,NaN,3
45,100.0,25,50.0,2.0,1.0,false,NaN,0
45,100.0,20,50.0,2.0,2.0,false,NaN,1
45,100.0,25,50.0,1.5,1.0,false,NaN,2
45,100.0,25,50.0,1.5,1.5,false,NaN,0
45,100.0,25,50.0,1.0,1.5,false,NaN,1
45,100.0,25,50.0,1.0,2.0,false,NaN,1
