sensorRange,acoCandidateCount,acoStepLength,acoAlpha,acoBeta,n_runs,convergence_rate,mean_ct,std_ct,median_ct,mean_victims
100.0,18,75.0,1.5,1.0,10,0.9,72.58897733972202,32.44879132952947,64.7703062749755,4.9
100.0,18,75.0,1.5,1.5,10,1.0,69.93069965905082,27.83349984874784,61.166933885769005,5.0
100.0,18,75.0,1.5,2.0,10,1.0,65.15196051031519,13.734608815909414,61.166933885769005,5.0
100.0,18,75.0,1.5,2.5,10,1.0,78.79027450077984,27.15123829660918,73.67118038464187,5.0
100.0,18,75.0,1.5,3.0,10,1.0,76.89364262940657,28.92854543760638,68.54975818189168,5.0
100.0,18,75.0,1.5,3.5,10,1.0,68.70624106996183,17.956705234343605,66.54562270062758,5.0
100.0,18,75.0,1.5,4.0,10,1.0,70.54020411112253,18.390837712485375,66.54562270062758,5.0
100.0,18,75.0,2.0,1.0,10,0.9,77.12115052932735,34.60857278239806,69.46691944543947,4.9
100.0,18,75.0,2.0,1.5,10,0.9,59.418149870005045,6.165126412188484,59.33386777153801,4.8
100.0,18,75.0,2.0,2.0,10,1.0,63.107846153978016,12.356718888145398,60.895708451099935,5.0
100.0,18,75.0,2.0,2.5,10,1.0,76.33230106287745,26.87117280585837,64.85821756582122,5.0
100.0,18,75.0,2.0,3.0,10,0.9,70.00378450793049,17.333058946659182,66.45521380639518,4.9
100.0,18,75.0,2.0,3.5,10,1.0,67.08301914405115,12.717444900183132,64.81055926618441,5.0
100.0,18,75.0,2.0,4.0,10,1.0,67.06176420562551,16.165920041034227,64.81055926618441,5.0
100.0,18,75.0,2.5,1.0,10,1.0,73.00740326191058,25.08194564565682,67.15154389009471,5.0
100.0,18,75.0,2.5,1.5,10,0.9,60.46098364985554,7.778149857540635,59.33386777153801,4.8
100.0,18,75.0,2.5,2.0,10,1.0,69.54072740513645,18.398330923489898,61.207135654160254,5.0
100.0,18,75.0,2.5,2.5,10,1.0,72.96069741416363,24.930400696405712,64.85821756582122,5.0
100.0,18,75.0,2.5,3.0,10,1.0,72.08051733056884,20.733575824198706,65.27169629005726,5.0
100.0,18,75.0,2.5,3.5,10,1.0,71.01740180613605,21.439403624123802,65.7276069031976,5.0
100.0,18,75.0,2.5,4.0,10,1.0,67.42622507892818,16.06373624451789,65.7276069031976,5.0
100.0,18,100.0,0.5,1.0,10,0.9,76.05431721713592,13.109404826255346,71.73495006728531,4.8
100.0,18,100.0,0.5,1.5,10,0.9,67.10355777372165,15.040509654263893,68.36183600520198,4.8
100.0,18,100.0,0.5,2.0,10,0.9,71.59010884940211,26.134257609267138,68.25115183468344,4.8
100.0,18,100.0,0.5,2.5,10,1.0,72.23739801289646,26.810373618813887,69.0669132485383,5.0
100.0,18,100.0,0.5,3.0,10,1.0,71.38626639637016,27.754343115994594,68.65912862282744,5.0
100.0,18,100.0,0.5,3.5,10,0.9,65.5028816007936,19.10057399069383,66.81111630139583,4.9
100.0,18,100.0,0.5,4.0,10,1.0,75.73089189741133,32.96526843246472,68.65912862282744,5.0
100.0,18,100.0,1.0,1.0,10,1.0,74.66279677539376,22.42959524312625,73.66501098571285,5.0
100.0,18,100.0,1.0,1.5,10,0.9,79.5343500019563,31.435285196166372,71.85208575934863,4.9
100.0,18,100.0,1.0,2.0,10,1.0,75.58459949198813,25.879138903022245,72.03559368212156,5.0
100.0,18,100.0,1.0,2.5,10,1.0,68.43391680648497,14.767227938977332,70.19311515317324,5.0
100.0,18,100.0,1.0,3.0,10,1.0,67.61898156409143,16.214164752116584,71.93412739949379,5.0
100.0,18,100.0,1.0,3.5,10,1.0,66.7791408110874,16.115851124168557,70.55626049423248,5.0
100.0,18,100.0,1.0,4.0,10,1.0,64.72008119070772,16.19323461259085,68.63562127729352,5.0
100.0,18,100.0,1.5,1.0,10,1.0,71.99338435220908,19.653192080018133,70.17293601443245,5.0
100.0,18,100.0,1.5,1.5,10,1.0,74.5093141530597,21.00052391070171,71.92604287967431,5.0
100.0,18,100.0,1.5,2.0,10,1.0,68.31416308397579,17.845908622002117,69.71006775416811,5.0
100.0,18,100.0,1.5,2.5,10,1.0,66.59841527765785,13.781812323552245,70.15651589754498,5.0
100.0,18,100.0,1.5,3.0,10,1.0,64.28051774728313,14.84647228036065,68.63562127729352,5.0
